Order_NBR,LineNumber,StockCode,MaxOutTote,Splittable,IsSpecialPick,PickingType,Ordered_Qty,quantity,UnitWeightGrams,UnitVolumeCubicCm,PickingZone,Aisle_Location,Bay_Location,Ailse_Bay_Concat,TransitID,Truck,TrolleyID,TrayHeaderID,DeliveryStartDateTime_local
302671391,39,861620,FALSE,FALSE,FALSE,Normal,2.0,2.0,54.0,767.58,Ambient,14,37,14_37,1052-AM-0600_b088289,1052-AM-0600_b088289,238868437,1090051294,2026-04-28 07:00:00 UTC
302671391,40,94666,FALSE,FALSE,FALSE,Normal,1.0,1.0,502.0,1375.25,Ambient,14,39,14_39,1052-AM-0600_b088289,1052-AM-0600_b088289,238868437,1090051294,2026-04-28 07:00:00 UTC
303627587,23,808422,FALSE,FALSE,FALSE,Normal,1.0,1.0,466.0,569.25,Ambient,10,59,10_59,1052-AM-0530_75e1fd7,1052-AM-0530_75e1fd7,238674813,1089359929,2026-04-27 11:00:00 UTC
302671321,10,112533,FALSE,FALSE,FALSE,Normal,2.0,2.0,2590.0,5427.76,Chilled,700,1,700_1,1052-AM-0540_92dd8ab,1052-AM-0540_92dd8ab,238857267,1090051227,2026-04-28 07:00:00 UTC
302671382,3,634312,FALSE,FALSE,FALSE,Normal,1.0,1.0,89.0,1379.14,Ambient,12,39,12_39,1052-AM-0515_acd3c36,1052-AM-0515_acd3c36,238858631,1090051340,2026-04-28 06:00:00 UTC
303269796,26,258746,FALSE,FALSE,FALSE,Normal,1.0,1.0,332.0,477.36,Chilled,403,1,403_1,1052-AM-0730_b3f066b,1052-AM-0730_b3f066b,238871912,1090051574,2026-04-28 05:00:00 UTC
303832842,41,518438,FALSE,FALSE,FALSE,Normal,2.0,2.0,592.0,2166.48,Ambient,14,11,14_11,1052-AM-0530_370fa92,1052-AM-0530_370fa92,238862852,1090051729,2026-04-28 06:00:00 UTC
303832842,15,160239,FALSE,FALSE,FALSE,Normal,1.0,1.0,1073.0,1692.75,Ambient,6,40,6_40,1052-AM-0530_370fa92,1052-AM-0530_370fa92,238862852,1090051729,2026-04-28 06:00:00 UTC
303178342,39,292796,FALSE,FALSE,FALSE,Normal,1.0,1.0,569.0,559.13,Ambient,117,7,117_7,1052-AM-0605_9b9d6aa,1052-AM-0605_9b9d6aa,238870908,1090051048,2026-04-28 07:00:00 UTC
303178342,8,387064,FALSE,FALSE,FALSE,Normal,2.0,2.0,634.0,5530.53,Ambient,4,18,4_18,1052-AM-0605_9b9d6aa,1052-AM-0605_9b9d6aa,238868425,1090051047,2026-04-28 07:00:00 UTC
